"STATISTIC Label","Month","Consumer Item","UNIT","VALUE"
"National Average Price","2014 January","White, self raising flour per 2 kg","Euro","2.308"
"National Average Price","2014 January","Brown, wholemeal flour per 2 kg","Euro","2.971"
"National Average Price","2014 January","Bread, white sliced pan, large (800g)","Euro","1.289"
"National Average Price","2014 January","Bread, brown sliced pan, large (800g)","Euro","1.532"
"National Average Price","2014 January","Spaghetti per 500g","Euro","1.105"
"National Average Price","2014 January","Sirloin steak per kg","Euro","16.287"
"National Average Price","2014 January","Striploin steak per kg","Euro","23.129"
"National Average Price","2014 January","Roast beef - topside or rib per kg","Euro","13.418"
"National Average Price","2014 January","Sliced / diced beef pieces per kg","Euro","10.585"
"National Average Price","2014 January","Pork loin chops per kg","Euro","8.116"
"National Average Price","2014 January","Pork steak per kg","Euro","9.474"
"National Average Price","2014 January","Lamb - whole leg / half leg per kg","Euro","11.226"
"National Average Price","2014 January","Lamb loin chops per kg","Euro","17.792"
"National Average Price","2014 January","Lamb gigot chops per kg","Euro","12.79"
"National Average Price","2014 January","Uncooked chicken medium size 1.6kg","Euro","5.707"
"National Average Price","2014 January","Lamb's liver per kg","Euro","5.812"
"National Average Price","2014 January","Ham fillet per kg","Euro","6.005"
"National Average Price","2014 January","Cooked ham per kg","Euro","17.494"
"National Average Price","2014 January","Best back rashers per kg","Euro","10.51"
"National Average Price","2014 January","Pork sausages per kg","Euro","5.798"
"National Average Price","2014 January","Fresh fillet of whiting per kg","Euro","10.954"
"National Average Price","2014 January","Fresh fillet of cod per kg","Euro","16.181"
"National Average Price","2014 January","Fresh salmon per kg","Euro","18.86"
"National Average Price","2014 January","Fresh fillet of plaice per kg","Euro","19.032"
"National Average Price","2014 January","Fresh hake per kg","Euro",""
"National Average Price","2014 January","Smoked salmon per kg","Euro","28.173"
"National Average Price","2014 January","Full fat milk per 2 litre","Euro","1.755"
"National Average Price","2014 January","Low fat milk per 1 litre","Euro","1.05"
"National Average Price","2014 January","Irish cheddar per kg","Euro","11.048"
"National Average Price","2014 January","Large eggs per half dozen","Euro","1.884"
"National Average Price","2014 January","Medium eggs per half dozen","Euro","1.577"
"National Average Price","2014 January","Butter per lb","Euro","2.783"
"National Average Price","2014 January","Grapes per kg","Euro","5.802"
"National Average Price","2014 January","Bananas per kg","Euro","1.366"
"National Average Price","2014 January","Tomatoes per kg","Euro","3.126"
"National Average Price","2014 January","Onions per kg","Euro","1.2"
"National Average Price","2014 January","Broccoli per kg","Euro","3.322"
"National Average Price","2014 January","Carrots per kg","Euro","1.327"
"National Average Price","2014 January","Mushrooms per kg","Euro","4.817"
"National Average Price","2014 January","Tomatoes tinned per 400g","Euro","0.874"
"National Average Price","2014 January","Potatoes 2.5 kg","Euro","3.265"
"National Average Price","2014 January","Potatoes 7.5 kg","Euro",""
"National Average Price","2014 January","Potatoes 10 kg","Euro","6.7"
"National Average Price","2014 January","White granulated sugar per 1 kg","Euro","1.337"
"National Average Price","2014 January","Jam per lb","Euro","1.745"
"National Average Price","2014 January","Marmalade per lb","Euro","1.879"
"National Average Price","2014 January","Tea bags per 80","Euro","2.744"
"National Average Price","2014 January","Orange juice per litre","Euro","1.523"
"National Average Price","2014 February","White, self raising flour per 2 kg","Euro","2.338"
"National Average Price","2014 February","Brown, wholemeal flour per 2 kg","Euro","2.982"
"National Average Price","2014 February","Bread, white sliced pan, large (800g)","Euro","1.299"
"National Average Price","2014 February","Bread, brown sliced pan, large (800g)","Euro","1.553"
"National Average Price","2014 February","Spaghetti per 500g","Euro","1.104"
"National Average Price","2014 February","Sirloin steak per kg","Euro","15.106"
"National Average Price","2014 February","Striploin steak per kg","Euro","21.297"
"National Average Price","2014 February","Roast beef - topside or rib per kg","Euro","13.639"
"National Average Price","2014 February","Sliced / diced beef pieces per kg","Euro","10.598"
"National Average Price","2014 February","Pork loin chops per kg","Euro","8.348"
"National Average Price","2014 February","Pork steak per kg","Euro","9.638"
"National Average Price","2014 February","Lamb - whole leg / half leg per kg","Euro","11.441"
"National Average Price","2014 February","Lamb loin chops per kg","Euro","18.969"
"National Average Price","2014 February","Lamb gigot chops per kg","Euro","12.898"
"National Average Price","2014 February","Uncooked chicken medium size 1.6kg","Euro","5.661"
"National Average Price","2014 February","Lamb's liver per kg","Euro","5.79"
"National Average Price","2014 February","Ham fillet per kg","Euro","5.99"
"National Average Price","2014 February","Cooked ham per kg","Euro","18.301"
"National Average Price","2014 February","Best back rashers per kg","Euro","10.684"
"National Average Price","2014 February","Pork sausages per kg","Euro","6.057"
"National Average Price","2014 February","Fresh fillet of whiting per kg","Euro","10.898"
"National Average Price","2014 February","Fresh fillet of cod per kg","Euro","14.256"
"National Average Price","2014 February","Fresh salmon per kg","Euro","18.102"
"National Average Price","2014 February","Fresh fillet of plaice per kg","Euro","17.858"
"National Average Price","2014 February","Fresh hake per kg","Euro",""
"National Average Price","2014 February","Smoked salmon per kg","Euro","29.604"
"National Average Price","2014 February","Full fat milk per 2 litre","Euro","1.751"
"National Average Price","2014 February","Low fat milk per 1 litre","Euro","1.054"
"National Average Price","2014 February","Irish cheddar per kg","Euro","11.371"
"National Average Price","2014 February","Large eggs per half dozen","Euro","1.877"
"National Average Price","2014 February","Medium eggs per half dozen","Euro","1.546"
"National Average Price","2014 February","Butter per lb","Euro","2.797"
"National Average Price","2014 February","Grapes per kg","Euro","5.76"
"National Average Price","2014 February","Bananas per kg","Euro","1.371"
"National Average Price","2014 February","Tomatoes per kg","Euro","3.113"
"National Average Price","2014 February","Onions per kg","Euro","1.184"
"National Average Price","2014 February","Broccoli per kg","Euro","3.112"
"National Average Price","2014 February","Carrots per kg","Euro","1.281"
"National Average Price","2014 February","Mushrooms per kg","Euro","4.681"
"National Average Price","2014 February","Tomatoes tinned per 400g","Euro","0.933"
"National Average Price","2014 February","Potatoes 2.5 kg","Euro","3.264"
"National Average Price","2014 February","Potatoes 7.5 kg","Euro",""
"National Average Price","2014 February","Potatoes 10 kg","Euro","5.925"
"National Average Price","2014 February","White granulated sugar per 1 kg","Euro","1.348"
"National Average Price","2014 February","Jam per lb","Euro","1.906"
"National Average Price","2014 February","Marmalade per lb","Euro","1.86"
"National Average Price","2014 February","Tea bags per 80","Euro","2.813"
"National Average Price","2014 February","Orange juice per litre","Euro","1.588"
"National Average Price","2014 March","White, self raising flour per 2 kg","Euro","2.314"
"National Average Price","2014 March","Brown, wholemeal flour per 2 kg","Euro","2.988"
"National Average Price","2014 March","Bread, white sliced pan, large (800g)","Euro","1.285"
"National Average Price","2014 March","Bread, brown sliced pan, large (800g)","Euro","1.551"
"National Average Price","2014 March","Spaghetti per 500g","Euro","1.15"
"National Average Price","2014 March","Sirloin steak per kg","Euro","16.215"
"National Average Price","2014 March","Striploin steak per kg","Euro","22.286"
"National Average Price","2014 March","Roast beef - topside or rib per kg","Euro","12.139"
"National Average Price","2014 March","Sliced / diced beef pieces per kg","Euro","10.703"
"National Average Price","2014 March","Pork loin chops per kg","Euro","8.911"
"National Average Price","2014 March","Pork steak per kg","Euro","9.063"
"National Average Price","2014 March","Lamb - whole leg / half leg per kg","Euro","12.054"
"National Average Price","2014 March","Lamb loin chops per kg","Euro","17.162"
"National Average Price","2014 March","Lamb gigot chops per kg","Euro","13.073"
"National Average Price","2014 March","Uncooked chicken medium size 1.6kg","Euro","5.547"
"National Average Price","2014 March","Lamb's liver per kg","Euro","5.689"
"National Average Price","2014 March","Ham fillet per kg","Euro","6.064"
"National Average Price","2014 March","Cooked ham per kg","Euro","18.228"
"National Average Price","2014 March","Best back rashers per kg","Euro","10.446"
"National Average Price","2014 March","Pork sausages per kg","Euro","6.073"
"National Average Price","2014 March","Fresh fillet of whiting per kg","Euro","9.71"
"National Average Price","2014 March","Fresh fillet of cod per kg","Euro","15.432"
"National Average Price","2014 March","Fresh salmon per kg","Euro","18.108"
"National Average Price","2014 March","Fresh fillet of plaice per kg","Euro","16.827"
"National Average Price","2014 March","Fresh hake per kg","Euro",""
"National Average Price","2014 March","Smoked salmon per kg","Euro","29.556"
"National Average Price","2014 March","Full fat milk per 2 litre","Euro","1.744"
"National Average Price","2014 March","Low fat milk per 1 litre","Euro","1.057"
"National Average Price","2014 March","Irish cheddar per kg","Euro","11.249"
"National Average Price","2014 March","Large eggs per half dozen","Euro","1.867"
"National Average Price","2014 March","Medium eggs per half dozen","Euro","1.572"
"National Average Price","2014 March","Butter per lb","Euro","2.763"
"National Average Price","2014 March","Grapes per kg","Euro","5.745"
"National Average Price","2014 March","Bananas per kg","Euro","1.375"
"National Average Price","2014 March","Tomatoes per kg","Euro","3.184"
"National Average Price","2014 March","Onions per kg","Euro","1.208"
"National Average Price","2014 March","Broccoli per kg","Euro","3.164"
"National Average Price","2014 March","Carrots per kg","Euro","1.192"
"National Average Price","2014 March","Mushrooms per kg","Euro","4.619"
"National Average Price","2014 March","Tomatoes tinned per 400g","Euro","0.956"
"National Average Price","2014 March","Potatoes 2.5 kg","Euro","3.014"
"National Average Price","2014 March","Potatoes 7.5 kg","Euro",""
"National Average Price","2014 March","Potatoes 10 kg","Euro","5.452"
"National Average Price","2014 March","White granulated sugar per 1 kg","Euro","1.345"
"National Average Price","2014 March","Jam per lb","Euro","2.033"
"National Average Price","2014 March","Marmalade per lb","Euro","1.809"
"National Average Price","2014 March","Tea bags per 80","Euro","2.737"
"National Average Price","2014 March","Orange juice per litre","Euro","1.542"
"National Average Price","2014 April","White, self raising flour per 2 kg","Euro","2.161"
"National Average Price","2014 April","Brown, wholemeal flour per 2 kg","Euro","2.997"
"National Average Price","2014 April","Bread, white sliced pan, large (800g)","Euro","1.296"
"National Average Price","2014 April","Bread, brown sliced pan, large (800g)","Euro","1.536"
