"Statistic Label","Month","Detailed Sub Indices","UNIT","VALUE"
"Consumer Price Index","2015 January","All items","Base Dec 2023=100","81.8"
"Consumer Price Index","2015 January","Food and non-alcoholic beverages","Base Dec 2023=100","91.5"
"Consumer Price Index","2015 January","Food","Base Dec 2023=100","91.7"
"Consumer Price Index","2015 January","Bread and cereals","Base Dec 2023=100","90"
"Consumer Price Index","2015 January","Rice","Base Dec 2023=100","106.9"
"Consumer Price Index","2015 January","Flours and other cereals","Base Dec 2023=100","91.5"
"Consumer Price Index","2015 January","Bread","Base Dec 2023=100","81.6"
"Consumer Price Index","2015 January","Other bakery products","Base Dec 2023=100","90.1"
"Consumer Price Index","2015 January","Pizza and quiche","Base Dec 2023=100","108.1"
"Consumer Price Index","2015 January","Pasta products and couscous","Base Dec 2023=100","82.9"
"Consumer Price Index","2015 January","Breakfast cereals","Base Dec 2023=100","101.6"
"Consumer Price Index","2015 January","Other cereal products","Base Dec 2023=100","95.1"
"Consumer Price Index","2015 January","Meat","Base Dec 2023=100","92.7"
"Consumer Price Index","2015 January","Beef and veal","Base Dec 2023=100","100.7"
"Consumer Price Index","2015 January","Pork","Base Dec 2023=100","92.8"
"Consumer Price Index","2015 January","Lamb and goat","Base Dec 2023=100","86.3"
"Consumer Price Index","2015 January","Poultry","Base Dec 2023=100","91.2"
"Consumer Price Index","2015 January","Edible offal","Base Dec 2023=100","95.6"
"Consumer Price Index","2015 January","Dried, salted or smoked meat","Base Dec 2023=100","90.9"
"Consumer Price Index","2015 January","Other meat preparations","Base Dec 2023=100","93.2"
"Consumer Price Index","2015 January","Fish","Base Dec 2023=100","96.4"
"Consumer Price Index","2015 January","Fresh or chilled fish","Base Dec 2023=100","89.6"
"Consumer Price Index","2015 January","Frozen fish","Base Dec 2023=100","106.8"
"Consumer Price Index","2015 January","Fresh or chilled seafood","Base Dec 2023=100","113.6"
"Consumer Price Index","2015 January","Dried, smoked or salted fish and seafood","Base Dec 2023=100","87.9"
"Consumer Price Index","2015 January","Other preserved or processed fish and seafood-based preparations","Base Dec 2023=100","102.7"
"Consumer Price Index","2015 January","Milk, cheese and eggs","Base Dec 2023=100","86.4"
"Consumer Price Index","2015 January","Fresh whole milk","Base Dec 2023=100","78.4"
"Consumer Price Index","2015 January","Fresh low fat milk","Base Dec 2023=100","82.9"
"Consumer Price Index","2015 January","Yoghurt","Base Dec 2023=100","80.9"
"Consumer Price Index","2015 January","Cheese and curd","Base Dec 2023=100","103.5"
"Consumer Price Index","2015 January","Other milk products","Base Dec 2023=100","88.3"
"Consumer Price Index","2015 January","Eggs","Base Dec 2023=100","89.2"
"Consumer Price Index","2015 January","Oils and fats","Base Dec 2023=100","76"
"Consumer Price Index","2015 January","Butter","Base Dec 2023=100","72.9"
"Consumer Price Index","2015 January","Margarine and other vegetable fats","Base Dec 2023=100","75.8"
"Consumer Price Index","2015 January","Olive oil","Base Dec 2023=100","81.3"
"Consumer Price Index","2015 January","Other edible oils","Base Dec 2023=100","85.4"
"Consumer Price Index","2015 January","Fruit","Base Dec 2023=100","92.4"
"Consumer Price Index","2015 January","Fresh or chilled fruit","Base Dec 2023=100","90.6"
"Consumer Price Index","2015 January","Dried fruit and nuts","Base Dec 2023=100","107.3"
"Consumer Price Index","2015 January","Preserved fruit and fruit-based products","Base Dec 2023=100","72.7"
"Consumer Price Index","2015 January","Vegetables","Base Dec 2023=100","91.6"
"Consumer Price Index","2015 January","Fresh or chilled vegetables other than potatoes and other tubers","Base Dec 2023=100","94"
"Consumer Price Index","2015 January","Frozen vegetables other than potatoes and other tubers","Base Dec 2023=100","98.2"
"Consumer Price Index","2015 January","Dried vegetables, other preserved or processed vegetables","Base Dec 2023=100","97.9"
"Consumer Price Index","2015 January","Potatoes","Base Dec 2023=100","80.1"
"Consumer Price Index","2015 January","Crisps","Base Dec 2023=100","96.5"
"Consumer Price Index","2015 January","Sugar, jam, honey, chocolate and confectionery","Base Dec 2023=100","104.8"
"Consumer Price Index","2015 January","Sugar","Base Dec 2023=100","68.3"
"Consumer Price Index","2015 January","Jams, marmalades and honey","Base Dec 2023=100","108.9"
"Consumer Price Index","2015 January","Chocolate","Base Dec 2023=100","112.4"
"Consumer Price Index","2015 January","Confectionery products","Base Dec 2023=100","92.4"
"Consumer Price Index","2015 January","Edible ices and ice cream","Base Dec 2023=100","117.5"
"Consumer Price Index","2015 January","Artifical sugar substitutes","Base Dec 2023=100","94.2"
"Consumer Price Index","2015 January","Food products n.e.c.","Base Dec 2023=100","86.6"
"Consumer Price Index","2015 January","Sauces and condiments","Base Dec 2023=100","89.7"
"Consumer Price Index","2015 January","Salt, spices and culinary herbs","Base Dec 2023=100","89.7"
"Consumer Price Index","2015 January","Baby food","Base Dec 2023=100","81.2"
"Consumer Price Index","2015 January","Ready-made meals","Base Dec 2023=100","86.7"
"Consumer Price Index","2015 January","Other food products n.e.c.","Base Dec 2023=100","82.4"
"Consumer Price Index","2015 January","Non-alcoholic beverages","Base Dec 2023=100","89.3"
"Consumer Price Index","2015 January","Coffee, tea and cocoa","Base Dec 2023=100","98.5"
"Consumer Price Index","2015 January","Coffee","Base Dec 2023=100","100.7"
"Consumer Price Index","2015 January","Tea","Base Dec 2023=100","96.8"
"Consumer Price Index","2015 January","Cocoa and powdered chocolate","Base Dec 2023=100","117.5"
"Consumer Price Index","2015 January","Mineral waters, soft drinks, fruit and vegetable juices","Base Dec 2023=100","86"
"Consumer Price Index","2015 January","Mineral or spring waters","Base Dec 2023=100","90.1"
"Consumer Price Index","2015 January","Soft drinks","Base Dec 2023=100","81.9"
"Consumer Price Index","2015 January","Fruit and vegetable juices","Base Dec 2023=100","85.4"
"Consumer Price Index","2015 February","All items","Base Dec 2023=100","82.3"
"Consumer Price Index","2015 February","Food and non-alcoholic beverages","Base Dec 2023=100","90.8"
"Consumer Price Index","2015 February","Food","Base Dec 2023=100","90.9"
"Consumer Price Index","2015 February","Bread and cereals","Base Dec 2023=100","90.2"
"Consumer Price Index","2015 February","Rice","Base Dec 2023=100","105.6"
"Consumer Price Index","2015 February","Flours and other cereals","Base Dec 2023=100","91.6"
"Consumer Price Index","2015 February","Bread","Base Dec 2023=100","81.8"
"Consumer Price Index","2015 February","Other bakery products","Base Dec 2023=100","91.3"
"Consumer Price Index","2015 February","Pizza and quiche","Base Dec 2023=100","113.8"
"Consumer Price Index","2015 February","Pasta products and couscous","Base Dec 2023=100","79"
"Consumer Price Index","2015 February","Breakfast cereals","Base Dec 2023=100","98.6"
"Consumer Price Index","2015 February","Other cereal products","Base Dec 2023=100","95.4"
"Consumer Price Index","2015 February","Meat","Base Dec 2023=100","91.8"
"Consumer Price Index","2015 February","Beef and veal","Base Dec 2023=100","94.8"
"Consumer Price Index","2015 February","Pork","Base Dec 2023=100","91.9"
"Consumer Price Index","2015 February","Lamb and goat","Base Dec 2023=100","86.4"
"Consumer Price Index","2015 February","Poultry","Base Dec 2023=100","90.7"
"Consumer Price Index","2015 February","Edible offal","Base Dec 2023=100","96.1"
"Consumer Price Index","2015 February","Dried, salted or smoked meat","Base Dec 2023=100","91.1"
"Consumer Price Index","2015 February","Other meat preparations","Base Dec 2023=100","93.9"
"Consumer Price Index","2015 February","Fish","Base Dec 2023=100","93.1"
"Consumer Price Index","2015 February","Fresh or chilled fish","Base Dec 2023=100","85"
"Consumer Price Index","2015 February","Frozen fish","Base Dec 2023=100","98.9"
"Consumer Price Index","2015 February","Fresh or chilled seafood","Base Dec 2023=100","114.2"
"Consumer Price Index","2015 February","Dried, smoked or salted fish and seafood","Base Dec 2023=100","86"
"Consumer Price Index","2015 February","Other preserved or processed fish and seafood-based preparations","Base Dec 2023=100","102.4"
"Consumer Price Index","2015 February","Milk, cheese and eggs","Base Dec 2023=100","86.3"
"Consumer Price Index","2015 February","Fresh whole milk","Base Dec 2023=100","78.5"
"Consumer Price Index","2015 February","Fresh low fat milk","Base Dec 2023=100","82.9"
"Consumer Price Index","2015 February","Yoghurt","Base Dec 2023=100","80.2"
"Consumer Price Index","2015 February","Cheese and curd","Base Dec 2023=100","102.7"
"Consumer Price Index","2015 February","Other milk products","Base Dec 2023=100","90.2"
"Consumer Price Index","2015 February","Eggs","Base Dec 2023=100","88.8"
"Consumer Price Index","2015 February","Oils and fats","Base Dec 2023=100","75.2"
"Consumer Price Index","2015 February","Butter","Base Dec 2023=100","72.1"
"Consumer Price Index","2015 February","Margarine and other vegetable fats","Base Dec 2023=100","74.2"
"Consumer Price Index","2015 February","Olive oil","Base Dec 2023=100","82.5"
"Consumer Price Index","2015 February","Other edible oils","Base Dec 2023=100","85.3"
"Consumer Price Index","2015 February","Fruit","Base Dec 2023=100","91.2"
"Consumer Price Index","2015 February","Fresh or chilled fruit","Base Dec 2023=100","89.4"
"Consumer Price Index","2015 February","Dried fruit and nuts","Base Dec 2023=100","105.8"
"Consumer Price Index","2015 February","Preserved fruit and fruit-based products","Base Dec 2023=100","72.8"
"Consumer Price Index","2015 February","Vegetables","Base Dec 2023=100","91.1"
"Consumer Price Index","2015 February","Fresh or chilled vegetables other than potatoes and other tubers","Base Dec 2023=100","95.6"
"Consumer Price Index","2015 February","Frozen vegetables other than potatoes and other tubers","Base Dec 2023=100","97.8"
"Consumer Price Index","2015 February","Dried vegetables, other preserved or processed vegetables","Base Dec 2023=100","97.7"
"Consumer Price Index","2015 February","Potatoes","Base Dec 2023=100","78"
"Consumer Price Index","2015 February","Crisps","Base Dec 2023=100","91.9"
"Consumer Price Index","2015 February","Sugar, jam, honey, chocolate and confectionery","Base Dec 2023=100","101.4"
"Consumer Price Index","2015 February","Sugar","Base Dec 2023=100","68"
"Consumer Price Index","2015 February","Jams, marmalades and honey","Base Dec 2023=100","114.6"
"Consumer Price Index","2015 February","Chocolate","Base Dec 2023=100","102.5"
"Consumer Price Index","2015 February","Confectionery products","Base Dec 2023=100","91.8"
"Consumer Price Index","2015 February","Edible ices and ice cream","Base Dec 2023=100","118.8"
"Consumer Price Index","2015 February","Artifical sugar substitutes","Base Dec 2023=100","97.7"
"Consumer Price Index","2015 February","Food products n.e.c.","Base Dec 2023=100","87.3"
"Consumer Price Index","2015 February","Sauces and condiments","Base Dec 2023=100","89.7"
"Consumer Price Index","2015 February","Salt, spices and culinary herbs","Base Dec 2023=100","89.7"
"Consumer Price Index","2015 February","Baby food","Base Dec 2023=100","81"
"Consumer Price Index","2015 February","Ready-made meals","Base Dec 2023=100","88.3"
"Consumer Price Index","2015 February","Other food products n.e.c.","Base Dec 2023=100","83.1"
"Consumer Price Index","2015 February","Non-alcoholic beverages","Base Dec 2023=100","90"
"Consumer Price Index","2015 February","Coffee, tea and cocoa","Base Dec 2023=100","98.4"
"Consumer Price Index","2015 February","Coffee","Base Dec 2023=100","102.5"
"Consumer Price Index","2015 February","Tea","Base Dec 2023=100","95.5"
"Consumer Price Index","2015 February","Cocoa and powdered chocolate","Base Dec 2023=100","114.5"
"Consumer Price Index","2015 February","Mineral waters, soft drinks, fruit and vegetable juices","Base Dec 2023=100","86.8"
"Consumer Price Index","2015 February","Mineral or spring waters","Base Dec 2023=100","90.2"
