Tag,year,avg_price_eur,YoY_change_tag,Median_Income_euro,Median_Price,YoY_change_tag_median,Affordability_Mean,Affordability_Median,Affordability_Mean_adj,Affordability_Median_adj
Healthy,2014,7.539829861111111,,35327.0,4.942,,0.00021342966742466418,0.00013989299968862344,0.21342966742466418,0.13989299968862343
Healthy,2015,7.4613506944444445,-1.0408612410665374,36965.0,4.711,-4.67,0.00020184906518177855,0.00012744488029216828,0.20184906518177856,0.12744488029216827
Healthy,2016,7.472142361111111,0.1446342238637932,38540.0,4.535500000000001,-3.73,0.00019388018580983682,0.00011768292682926831,0.19388018580983682,0.11768292682926831
Healthy,2017,7.457652777777778,-0.1939147119137341,39005.0,4.391,-3.19,0.00019119735361563332,0.00011257531085758236,0.1911973536156333,0.11257531085758236
Healthy,2018,7.316114583333334,-1.8978919864196087,42183.0,4.2620000000000005,-2.94,0.00017343751234699605,0.00010103596235450301,0.17343751234699606,0.101035962354503
Healthy,2019,7.3344652777777775,0.25082568398049343,42524.0,4.165,-2.28,0.0001724782541100973,9.794469005737936e-05,0.1724782541100973,0.09794469005737935
Healthy,2020,7.421631944444444,1.188452918725602,43915.0,4.165,0.0,0.00016899993042114185,9.484230900603438e-05,0.16899993042114186,0.09484230900603438
Healthy,2021,7.287583333333334,-1.80618780498073,50074.0,4.164,-0.02,0.00014553627298265236,8.315692774693453e-05,0.14553627298265237,0.08315692774693453
Healthy,2022,7.814989583333333,7.237052749539741,51120.0,4.1805,0.4,0.00015287538308555033,8.177816901408451e-05,0.15287538308555032,0.08177816901408451
Healthy,2023,8.353725694444444,6.893625453577679,50162.0,4.689500000000001,12.18,0.00016653494068108218,9.348710179019977e-05,0.16653494068108218,0.09348710179019977
Healthy,2024,8.553868055555556,2.395845499741678,50406.0,4.922499999999999,4.97,0.00016969940196713798,9.765702495734633e-05,0.16969940196713798,0.09765702495734634
Neutral,2014,6.399583333333333,,35327.0,2.311,,0.00018115275379549165,6.541738613525066e-05,0.18115275379549164,0.06541738613525067
Neutral,2015,6.3178981481481475,-1.2764141183960298,36965.0,2.303,-0.35,0.0001709156809995441,6.230217773569593e-05,0.1709156809995441,0.06230217773569593
Neutral,2016,6.193518518518518,-1.968686843520684,38540.0,2.3625,2.58,0.0001607036460435526,6.129994810586404e-05,0.1607036460435526,0.06129994810586404
Neutral,2017,6.1728148148148145,-0.33428016145911066,39005.0,2.2835,-3.34,0.0001582570135832538,5.854377643891809e-05,0.1582570135832538,0.05854377643891809
Neutral,2018,6.374888888888889,3.2736130944523767,42183.0,2.2795,-0.18,0.00015112459732330297,5.403835668397222e-05,0.15112459732330297,0.05403835668397222
Neutral,2019,6.470027777777778,1.492400739010713,42524.0,2.1705,-4.78,0.00015215002769677777,5.104176465055028e-05,0.15215002769677777,0.05104176465055028
Neutral,2020,6.376342592592592,-1.4479873719701941,43915.0,2.1005000000000003,-3.23,0.00014519737202761226,4.7831037231014465e-05,0.14519737202761226,0.047831037231014464
Neutral,2021,6.372574074074073,-0.05910156902323438,50074.0,2.012,-4.21,0.0001272631320460533,4.018053281143907e-05,0.1272631320460533,0.040180532811439074
Neutral,2022,6.860120370370371,7.6506964160653945,51120.0,2.3385,16.23,0.0001341964078710949,4.5745305164319246e-05,0.13419640787109488,0.045745305164319246
Neutral,2023,7.437611111111112,8.418084662697577,50162.0,2.464,5.37,0.00014827182152049584,4.91208484510187e-05,0.14827182152049584,0.0491208484510187
Neutral,2024,7.481527777777778,0.5904673693016615,50406.0,2.6189999999999998,6.29,0.00014842534178029953,5.195810022616355e-05,0.14842534178029954,0.051958100226163546
Unhealthy,2014,5.4444375,,35327.0,2.38,,0.00015411547824610073,6.737056642228324e-05,0.15411547824610072,0.06737056642228324
Unhealthy,2015,5.2699895833333334,-3.2041494950886484,36965.0,2.3689999999999998,-0.46,0.00014256701158753775,6.408765048018396e-05,0.14256701158753776,0.06408765048018396
Unhealthy,2016,5.2250000000000005,-0.8536939707739721,38540.0,2.3395,-1.25,0.00013557343020238714,6.0703165542293725e-05,0.13557343020238713,0.06070316554229373
Unhealthy,2017,5.292489583333333,1.2916666666666687,39005.0,2.3085,-1.33,0.00013568746528222876,5.918471990770414e-05,0.13568746528222878,0.059184719907704145
Unhealthy,2018,5.2761249999999995,-0.30920388364802376,42183.0,2.561,10.94,0.0001250770452551976,6.071166109570206e-05,0.12507704525519758,0.060711661095702064
Unhealthy,2019,5.251375,-0.46909426899475193,42524.0,2.4925,-2.67,0.00012349202803122944,5.8613959175994737e-05,0.12349202803122944,0.05861395917599474
Unhealthy,2020,5.276645833333333,0.48122317170897766,43915.0,2.4675000000000002,-1.0,0.00012015588826900451,5.618809062962542e-05,0.12015588826900452,0.05618809062962542
Unhealthy,2021,5.213583333333333,-1.1951247438595436,50074.0,2.4185,-1.99,0.00010411757265913115,4.829851819307425e-05,0.10411757265913116,0.04829851819307425
Unhealthy,2022,5.6779062499999995,8.90602272908907,51120.0,2.5865,6.95,0.00011107015356025038,5.059663536776213e-05,0.11107015356025038,0.05059663536776213
Unhealthy,2023,6.122614583333333,7.8322591771101235,50162.0,2.9539999999999997,14.21,0.0001220568275454195,5.8889198995255364e-05,0.12205682754541951,0.05888919899525536
Unhealthy,2024,6.090291666666666,-0.5279266925384274,50406.0,2.9465,-0.25,0.00012082473647317118,5.8455342617942306e-05,0.12082473647317118,0.05845534261794231
